1,Nguyen Van A,A@student.ctu.edu.vn,123,avt.jpeg
2,Tran Thi B,B@student.ctu.edu.vn,124,avt.jpeg
3,Nguyen Ngoc C,C@student.ctu.edu.vn,125,avt.jpeg
4,Truong Thi D,D@student.ctu.edu.vn,126,avt.jpeg
5,Nguyen Van E,E@student.ctu.edu.vn,127,avt.jpeg
6,Tran Thi F,F@student.ctu.edu.vn,128,avt.jpeg
7,Nguyen Ngoc G,G@student.ctu.edu.vn,129,avt.jpeg
8,Truong Thi H,H@student.ctu.edu.vn,130,avt.jpeg
9,Nguyen Van K,K@student.ctu.edu.vn,131,avt.jpeg
10,Tran Thi I,I@student.ctu.edu.vn,132,avt.jpeg
11,Nguyen Ngoc L,L@student.ctu.edu.vn,133,avt.jpeg
12,Truong Thi M,@student.ctu.edu.vn,134,avt.jpeg
